step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
544,80,70,0,1,57
545,80,71,0,1,56
546,80,71,0,1,56
547,80,71,0,1,56
548,79,71,0,2,56
549,80,70,0,2,57
550,82,69,0,2,59
551,83,68,0,2,59
552,83,68,0,2,59
553,83,68,0,2,59
554,84,67,0,2,60
555,84,67,0,2,60
556,84,67,0,2,60
557,84,67,0,2,60
558,84,68,0,2,60
559,84,69,0,2,60
560,85,69,0,2,61
561,85,70,0,2,61
562,85,70,0,2,61
563,87,68,0,2,62
564,87,68,0,2,62
565,87,68,0,2,62
566,87,68,0,2,62
567,89,68,0,2,64
568,89,69,0,2,64
569,89,69,0,2,64
570,89,69,0,2,64
571,89,70,0,2,64
572,89,70,0,2,64
573,90,70,0,2,65
574,90,71,0,2,65
575,91,72,0,2,65
576,92,71,0,2,66
577,92,72,0,2,66
578,93,71,0,2,67
579,93,71,0,2,67
580,93,71,0,2,67
581,93,72,0,2,67
582,94,73,0,2,66
583,95,73,0,2,66
584,95,75,0,2,66
585,95,75,0,2,66
586,95,75,0,2,66
587,96,75,0,2,67
588,97,74,0,2,67
589,98,73,0,2,68
590,98,73,0,2,68
591,98,73,0,2,68
592,98,74,0,2,68
593,98,74,0,2,68
594,98,74,0,2,68
595,99,74,0,2,68
596,99,75,0,2,68
597,99,75,0,2,68
598,100,75,0,2,69
599,100,76,0,2,69
600,100,77,0,2,69
601,101,77,0,2,69
602,101,77,0,2,69
603,101,78,0,2,69
604,101,78,0,2,69
605,101,78,0,2,69
606,101,78,0,2,69
607,101,78,0,2,69
608,101,78,0,2,69
609,101,79,0,2,69
610,102,78,0,2,70
611,104,79,0,2,72
612,104,81,0,2,72
613,104,81,0,2,72
614,105,80,0,2,73
615,105,80,0,2,73
616,105,80,0,2,73
617,105,80,0,2,73
618,105,80,0,2,73
619,108,78,0,2,75
620,108,78,0,2,75
621,108,78,0,2,75
622,108,79,0,2,75
623,108,79,0,2,75
624,108,81,0,2,75
625,108,81,0,2,75
626,108,81,0,2,75
627,108,81,0,2,75
628,108,82,0,2,75
629,108,83,0,2,74
630,108,83,0,2,74
631,108,83,0,2,74
632,108,83,0,2,74
633,108,83,0,2,74
634,108,84,0,2,74
635,108,84,0,2,74
636,108,84,0,2,74
637,108,84,0,2,74
638,108,86,0,2,74
639,108,86,0,2,74
640,109,86,0,2,75
641,109,86,0,2,75
642,109,86,0,2,75
643,109,86,0,2,75
644,109,87,0,2,75
645,110,88,0,2,76
646,111,87,0,2,77
647,111,87,0,2,77
648,112,86,0,2,77
649,112,88,0,2,77
650,112,88,0,2,77
651,113,87,0,2,77
652,113,88,0,2,77
653,113,87,0,2,77
654,113,87,0,2,76
655,114,87,0,2,76
656,114,86,0,2,75
657,114,86,0,2,75
